spinners,mode,matrix_time_s,matrix_gflops,bench_iters,bench_elapsed_s,bench_iters_per_s,bench_cpu_ms
0,alone,511.498,3.91,0,0,0,0
1,coop,533.369,3.75,229543034,,,229543034
1,nocoop,544.624,3.67,347460013,,,347460013
2,coop,517.427,3.87,70649351,,,70649351
2,nocoop,574.332,3.48,668864832,,,668864832
4,coop,518.882,3.85,104389587,,,104389587
4,nocoop,642.354,3.11,1409773849,,,1409773849
8,coop,521.676,3.83,159339683,,,159339683
8,nocoop,805.229,2.48,3230396337,,,3230396337
12,coop,653.354,3.06,1437128831,,,1437128831
12,nocoop,937.332,2.13,4455418231,,,4455418231
16,coop,515.857,3.88,123622923,,,123622923
16,nocoop,994.239,2.01,5078396344,,,5078396344
